,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,0.0,6.0,4.0,3.0,1169.0,4.0,4.0,4.0,2.0,0.0,4.0,0.0,67.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,b'good'
1,1.0,48.0,2.0,3.0,5951.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,22.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'bad'
2,3.0,12.0,4.0,6.0,2096.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,49.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,b'good'
3,0.0,42.0,2.0,2.0,7882.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,45.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,b'good'
4,0.0,24.0,3.0,0.0,4870.0,0.0,2.0,3.0,2.0,0.0,4.0,3.0,53.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,b'bad'
5,3.0,36.0,2.0,6.0,9055.0,4.0,2.0,2.0,2.0,0.0,4.0,3.0,35.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,b'good'
6,3.0,24.0,2.0,2.0,2835.0,2.0,4.0,3.0,2.0,0.0,4.0,1.0,53.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
7,1.0,36.0,2.0,1.0,6948.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,35.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,b'good'
8,3.0,12.0,2.0,3.0,3059.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,61.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,b'good'
9,1.0,30.0,4.0,0.0,5234.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,28.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,b'bad'
10,1.0,12.0,2.0,0.0,1295.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,25.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,b'bad'
11,0.0,48.0,2.0,9.0,4308.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,24.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,b'bad'
12,1.0,12.0,2.0,3.0,1567.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,22.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,b'good'
13,0.0,24.0,4.0,0.0,1199.0,0.0,4.0,4.0,2.0,0.0,4.0,2.0,60.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,b'bad'
14,0.0,15.0,2.0,0.0,1403.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,28.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,b'good'
15,0.0,24.0,2.0,3.0,1282.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0,32.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,b'bad'
16,3.0,24.0,4.0,3.0,2424.0,4.0,4.0,4.0,2.0,0.0,4.0,1.0,53.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,b'good'
17,0.0,30.0,0.0,9.0,8072.0,4.0,1.0,2.0,2.0,0.0,3.0,2.0,25.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,b'good'
18,1.0,24.0,2.0,1.0,12579.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,44.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,b'bad'
19,3.0,24.0,2.0,3.0,3430.0,2.0,4.0,3.0,2.0,0.0,2.0,2.0,31.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,b'good'
20,3.0,9.0,4.0,0.0,2134.0,0.0,2.0,4.0,2.0,0.0,4.0,2.0,48.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,b'good'
21,0.0,6.0,2.0,3.0,2647.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,44.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,b'good'
22,0.0,10.0,4.0,0.0,2241.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,48.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,b'good'
23,1.0,12.0,4.0,1.0,1804.0,1.0,1.0,3.0,2.0,0.0,4.0,1.0,44.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
24,3.0,10.0,4.0,2.0,2069.0,4.0,2.0,2.0,3.0,0.0,1.0,2.0,26.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,b'good'
25,0.0,6.0,2.0,2.0,1374.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,36.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,b'good'
26,3.0,6.0,0.0,3.0,426.0,0.0,4.0,4.0,3.0,0.0,4.0,2.0,39.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,b'good'
27,2.0,12.0,1.0,3.0,409.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0,42.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,b'good'
28,1.0,7.0,2.0,3.0,2415.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,34.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
29,0.0,60.0,3.0,9.0,6836.0,0.0,4.0,3.0,2.0,0.0,4.0,3.0,63.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,b'bad'
30,1.0,18.0,2.0,9.0,1913.0,3.0,1.0,3.0,3.0,0.0,3.0,0.0,36.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,b'good'
31,0.0,24.0,2.0,2.0,4020.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,27.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
32,1.0,18.0,2.0,0.0,5866.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,30.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,b'good'
33,3.0,12.0,4.0,9.0,1264.0,4.0,4.0,4.0,2.0,0.0,4.0,3.0,57.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,b'good'
34,2.0,12.0,2.0,2.0,1474.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,33.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,b'good'
35,1.0,45.0,4.0,3.0,4746.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,25.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,b'bad'
36,3.0,48.0,4.0,6.0,6110.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,31.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,b'good'
37,2.0,18.0,2.0,3.0,2100.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,37.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,b'bad'
38,2.0,10.0,2.0,4.0,1225.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,37.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,b'good'
39,1.0,9.0,2.0,3.0,458.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,24.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
40,3.0,30.0,2.0,3.0,2333.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,30.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,b'good'
41,1.0,12.0,2.0,3.0,1158.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,26.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,b'good'
42,1.0,18.0,3.0,5.0,6204.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,44.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,b'good'
43,0.0,30.0,4.0,1.0,6187.0,1.0,3.0,1.0,3.0,0.0,4.0,2.0,24.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,b'good'
44,0.0,48.0,4.0,1.0,6143.0,0.0,4.0,4.0,1.0,0.0,4.0,3.0,58.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,b'bad'
45,3.0,11.0,4.0,0.0,1393.0,0.0,1.0,4.0,1.0,0.0,4.0,2.0,35.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,b'good'
46,3.0,36.0,2.0,3.0,2299.0,2.0,4.0,4.0,2.0,0.0,4.0,2.0,39.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
47,0.0,6.0,2.0,1.0,1352.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,23.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,b'good'
48,3.0,11.0,4.0,0.0,7228.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,39.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,b'good'
49,3.0,12.0,2.0,3.0,2073.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,28.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
50,1.0,24.0,3.0,2.0,2333.0,4.0,1.0,4.0,2.0,0.0,2.0,1.0,29.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,b'good'
51,1.0,27.0,3.0,1.0,5965.0,0.0,4.0,1.0,2.0,0.0,2.0,2.0,30.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,b'good'
52,3.0,12.0,2.0,3.0,1262.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,25.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
53,3.0,18.0,2.0,1.0,3378.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,31.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,b'good'
54,1.0,36.0,3.0,0.0,2225.0,0.0,4.0,4.0,2.0,0.0,4.0,3.0,57.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,b'bad'
55,3.0,6.0,1.0,0.0,783.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,26.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,b'good'
56,1.0,12.0,2.0,3.0,6468.0,4.0,0.0,2.0,2.0,0.0,1.0,3.0,52.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,b'bad'
57,3.0,36.0,4.0,3.0,9566.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,31.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,b'good'
58,2.0,18.0,2.0,0.0,1961.0,0.0,4.0,3.0,1.0,0.0,2.0,2.0,23.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,b'good'
59,0.0,36.0,4.0,2.0,6229.0,0.0,1.0,4.0,1.0,1.0,4.0,3.0,23.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,b'bad'
60,1.0,9.0,2.0,9.0,1391.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,27.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,b'good'
61,1.0,15.0,4.0,3.0,1537.0,4.0,4.0,4.0,2.0,2.0,4.0,0.0,50.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,b'good'
62,1.0,36.0,0.0,9.0,1953.0,0.0,4.0,4.0,2.0,0.0,4.0,3.0,61.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,b'bad'
63,1.0,48.0,0.0,9.0,14421.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,25.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,b'bad'
64,3.0,24.0,2.0,3.0,3181.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,26.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,b'good'
65,3.0,27.0,2.0,5.0,5190.0,4.0,4.0,4.0,2.0,0.0,4.0,1.0,48.0,2.0,1.0,4.0,2.0,2.0,1.0,0.0,b'good'
66,3.0,12.0,2.0,3.0,2171.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,29.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
67,1.0,12.0,2.0,0.0,1007.0,3.0,2.0,4.0,3.0,0.0,1.0,0.0,22.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
68,3.0,36.0,2.0,6.0,1819.0,0.0,2.0,4.0,2.0,0.0,4.0,3.0,37.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,b'bad'
69,3.0,36.0,2.0,3.0,2394.0,4.0,2.0,4.0,1.0,0.0,4.0,2.0,25.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
70,3.0,36.0,2.0,1.0,8133.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,30.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,b'good'
