,duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
0,1.0,5.0,3.971739,3.913333,0.0,40.0,2.0,7.444444,2.0,1.0,11.0,1.0,0.0,1.0,0.0,2.0,b'good'
1,2.0,4.5,5.8,3.913333,0.0,35.0,1.0,7.444444,4.870968,0.0,11.0,0.0,0.0,2.0,0.0,2.0,b'good'
2,2.160714,3.803571,3.971739,3.913333,0.0,38.0,2.0,7.444444,5.0,1.0,11.0,2.0,0.0,1.0,0.0,1.0,b'good'
3,3.0,3.7,4.0,5.0,2.0,38.039216,2.0,7.444444,4.870968,0.0,11.09434,0.0,0.0,1.0,0.0,2.0,b'good'
4,3.0,4.5,4.5,5.0,0.0,40.0,2.0,7.444444,4.870968,1.0,12.0,1.0,0.0,1.0,0.0,1.0,b'good'
5,2.0,2.0,2.5,3.913333,0.0,35.0,2.0,7.444444,6.0,0.0,12.0,1.0,0.0,1.0,0.0,2.0,b'good'
6,3.0,4.0,5.0,5.0,2.0,38.039216,2.0,7.444444,4.870968,1.0,12.0,2.0,0.0,0.0,0.0,1.0,b'good'
7,3.0,6.9,4.8,2.3,0.0,40.0,2.0,7.444444,3.0,1.0,12.0,0.0,0.0,1.0,0.0,2.0,b'good'
8,2.0,3.0,7.0,3.913333,0.0,38.0,2.0,12.0,25.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,b'good'
9,1.0,5.7,3.971739,3.913333,0.0,40.0,2.0,7.444444,4.0,1.0,11.0,2.0,0.0,2.0,0.0,2.0,b'good'
10,3.0,3.5,4.0,4.6,0.0,36.0,2.0,7.444444,3.0,1.0,13.0,2.0,0.0,1.0,0.0,2.0,b'good'
11,2.0,6.4,6.4,3.913333,0.0,38.0,2.0,7.444444,4.0,1.0,15.0,0.0,0.0,2.0,0.0,2.0,b'good'
12,2.0,3.5,4.0,3.913333,0.0,40.0,2.0,7.444444,2.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,b'bad'
13,3.0,3.5,4.0,5.1,1.0,37.0,2.0,7.444444,4.0,1.0,13.0,2.0,0.0,2.0,0.0,2.0,b'good'
14,1.0,3.0,3.971739,3.913333,0.0,36.0,2.0,7.444444,10.0,1.0,11.0,2.0,0.0,1.0,0.0,2.0,b'good'
