,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
0,5.0,2.0,4.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,5.0,1
1,5.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,1.0,0
2,0.0,2.0,8.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
3,5.0,3.0,8.0,1.0,6.0,2.0,0.0,1.0,5.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,5.0,1
4,5.0,2.0,3.0,0.0,5.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0
5,5.0,3.0,9.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,2.0,1.0,0
6,0.0,2.0,8.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,2.0,3.0,0
7,0.0,3.0,8.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,3.0,0
8,5.0,3.0,8.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,4.0,1.0,1
9,0.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,3.0,0
10,5.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,1.0,0
11,5.0,3.0,9.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,3.0,0
12,0.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,1.0,0
13,5.0,3.0,8.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,5.0,1
14,5.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,1.0,2.0,2.0,0.0,7.0,7.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0
15,4.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,5.0,5.0,0
16,2.0,0.0,8.0,0.0,5.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0
17,5.0,2.0,4.0,1.0,6.0,2.0,0.0,1.0,5.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,1.0,1
18,5.0,3.0,8.0,1.0,6.0,2.0,0.0,1.0,5.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,5.0,1
19,5.0,2.0,4.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,5.0,1
20,0.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,3.0,0
21,5.0,3.0,4.0,1.0,6.0,2.0,0.0,1.0,5.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,1.0,1
22,0.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,3.0,0
23,0.0,3.0,8.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
24,0.0,2.0,8.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,3.0,0
25,2.0,2.0,8.0,1.0,6.0,2.0,0.0,1.0,5.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,1.0,1
26,5.0,3.0,9.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
27,5.0,3.0,8.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
28,2.0,0.0,4.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,5.0,5.0,0
29,5.0,2.0,9.0,1.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,0.0,0
30,0.0,2.0,9.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
31,5.0,3.0,8.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,5.0,1
32,5.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
33,5.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,3.0,2.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,5.0,4.0,0
34,0.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,3.0,0
35,5.0,0.0,9.0,1.0,3.0,2.0,2.0,1.0,10.0,1.0,0.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,0.0,0
36,4.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,4.0,5.0,0
37,5.0,3.0,4.0,1.0,6.0,2.0,0.0,1.0,10.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,5.0,1
38,5.0,0.0,9.0,1.0,0.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,0.0,0
39,0.0,2.0,9.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,3.0,0
40,0.0,3.0,9.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,1.0,0
41,5.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,3.0,2.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,5.0,4.0,0
42,5.0,0.0,4.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,5.0,5.0,0
43,5.0,3.0,8.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,1.0,1
44,5.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,2.0,3.0,0
45,5.0,3.0,8.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,1.0,0
46,5.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,3.0,0
47,5.0,2.0,8.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
48,5.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,3.0,2.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,3.0,4.0,0
49,2.0,3.0,9.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,3.0,2.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,4.0,0
50,5.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,3.0,2.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,1.0,0
51,5.0,2.0,8.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,1.0,0
52,0.0,2.0,8.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,0
53,5.0,3.0,4.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,5.0,1
54,5.0,2.0,8.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,4.0,5.0,1
55,0.0,3.0,9.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,3.0,3.0,0
56,2.0,0.0,3.0,0.0,5.0,2.0,2.0,0.0,5.0,1.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0
57,0.0,2.0,8.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,2.0,1.0,0
58,5.0,2.0,9.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,2.0,1.0,0
59,5.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,3.0,2.0,3.0,7.0,7.0,0.0,2.0,1.0,5.0,2.0,5.0,4.0,0
60,4.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,7.0,7.0,0.0,2.0,1.0,5.0,3.0,4.0,5.0,0
